SIZE:,512
FREQ(Hz):,1000000
Vpp(V):,2
Index,Value(-1.0---1.0)
0,1
1,0.3369
2,-0.7729
3,-0.8575
4,0.195
5,0.9886
6,0.471
7,-0.6707
8,-0.9224
9,0.049
10,0.9545
11,0.5939
12,-0.5536
13,-0.9659
14,-0.0975
15,0.8989
16,0.7026
17,-0.4245
18,-0.9871
19,-0.2408
20,0.8232
21,0.7944
22,-0.2868
23,-0.9856
24,-0.3772
25,0.7294
26,0.8671
27,-0.1441
28,-0.9617
29,-0.5034
30,0.6202
31,0.9191
32,0
33,-0.9162
34,-0.6163
35,0.4985
36,0.9494
37,0.1418
38,-0.8505
39,-0.7132
40,0.3676
41,0.9575
42,0.2777
43,-0.7668
44,-0.792
45,0.2309
46,0.9437
47,0.4045
48,-0.6674
49,-0.8511
50,0.0921
51,0.9087
52,0.5191
53,-0.5552
54,-0.8894
55,-0.0455
56,0.854
57,0.619
58,-0.4332
59,-0.9065
60,-0.1782
61,0.7813
62,0.702
63,-0.305
64,-0.9024
65,-0.303
66,0.693
67,0.7664
68,-0.1737
69,-0.8779
70,-0.4169
71,0.5918
72,0.8113
73,-0.0429
74,-0.8342
75,-0.5174
76,0.4807
77,0.8361
78,0.0842
79,-0.7731
80,-0.6024
81,0.3628
82,0.8409
83,0.2045
84,-0.6968
85,-0.6703
86,0.2412
87,0.8264
88,0.3153
89,-0.6077
90,-0.7201
91,0.1193
92,0.7936
93,0.4141
94,-0.5086
95,-0.7513
96,0
97,0.7442
98,0.499
99,-0.4024
100,-0.764
101,-0.1137
102,0.6802
103,0.5686
104,-0.2922
105,-0.7586
106,-0.2193
107,0.6037
108,0.6217
109,-0.1807
110,-0.7361
111,-0.3146
112,0.5174
113,0.6578
114,-0.0709
115,-0.6981
116,-0.3976
117,0.4239
118,0.677
119,0.0345
120,-0.6461
121,-0.4669
122,0.3258
123,0.6797
124,0.1333
125,-0.5823
126,-0.5217
127,0.226
128,0.6667
129,0.2232
130,-0.509
131,-0.5613
132,0.1269
133,0.6392
134,0.3027
135,-0.4285
136,-0.5857
137,0.0309
138,0.5989
139,0.3704
140,-0.3432
141,-0.5953
142,-0.0598
143,0.5475
144,0.4254
145,-0.2555
146,-0.5908
147,-0.1433
148,0.487
149,0.4672
150,-0.1677
151,-0.5731
152,-0.2181
153,0.4194
154,0.4957
155,-0.0819
156,-0.5437
157,-0.283
158,0.3468
159,0.5112
160,0
161,-0.504
162,-0.3372
163,0.2714
164,0.5141
165,0.0764
166,-0.4558
167,-0.3802
168,0.195
169,0.5053
170,0.1458
171,-0.4007
172,-0.4118
173,0.1195
174,0.486
175,0.2073
176,-0.3405
177,-0.4322
178,0.0465
179,0.4573
180,0.2601
181,-0.2769
182,-0.4417
183,-0.0225
184,0.4206
185,0.3036
186,-0.2116
187,-0.441
188,-0.0864
189,0.3772
190,0.3377
191,-0.1462
192,-0.431
193,-0.1442
194,0.3287
195,0.3623
196,-0.0819
197,-0.4124
198,-0.1953
199,0.2764
200,0.3779
201,-0.0199
202,-0.3865
203,-0.2391
204,0.2216
205,0.3846
206,0.0386
207,-0.3542
208,-0.2754
209,0.1656
210,0.3832
211,0.093
212,-0.3166
213,-0.3042
214,0.1093
215,0.3742
216,0.1426
217,-0.2747
218,-0.3254
219,0.0539
220,0.3583
221,0.1869
222,-0.2296
223,-0.3392
224,0
225,0.3363
226,0.2256
227,-0.1821
228,-0.346
229,-0.0516
230,0.3088
231,0.2585
232,-0.1331
233,-0.3461
234,-0.1003
235,0.2766
236,0.2855
237,-0.0832
238,-0.3398
239,-0.1456
240,0.2402
241,0.3064
242,-0.0332
243,-0.3274
244,-0.1872
245,0.2004
246,0.3214
247,0.0165
248,-0.3094
249,-0.2247
250,0.1576
251,0.3303
252,0.0651
253,-0.2861
254,-0.2577
255,0.1123
256,0.3333
257,0.1123
258,-0.2577
259,-0.2861
260,0.0651
261,0.3303
262,0.1576
263,-0.2247
264,-0.3094
265,0.0165
266,0.3214
267,0.2004
268,-0.1872
269,-0.3274
270,-0.0332
271,0.3064
272,0.2402
273,-0.1456
274,-0.3398
275,-0.0832
276,0.2855
277,0.2766
278,-0.1003
279,-0.3461
280,-0.1331
281,0.2585
282,0.3088
283,-0.0516
284,-0.346
285,-0.1821
286,0.2256
287,0.3363
288,0
289,-0.3392
290,-0.2296
291,0.1869
292,0.3583
293,0.0539
294,-0.3254
295,-0.2747
296,0.1426
297,0.3742
298,0.1093
299,-0.3042
300,-0.3166
301,0.093
302,0.3832
303,0.1656
304,-0.2754
305,-0.3542
306,0.0386
307,0.3846
308,0.2216
309,-0.2391
310,-0.3865
311,-0.0199
312,0.3779
313,0.2764
314,-0.1953
315,-0.4124
316,-0.0819
317,0.3623
318,0.3287
319,-0.1442
320,-0.431
321,-0.1462
322,0.3377
323,0.3772
324,-0.0864
325,-0.441
326,-0.2116
327,0.3036
328,0.4206
329,-0.0225
330,-0.4417
331,-0.2769
332,0.2601
333,0.4573
334,0.0465
335,-0.4322
336,-0.3405
337,0.2073
338,0.486
339,0.1195
340,-0.4118
341,-0.4007
342,0.1458
343,0.5053
344,0.195
345,-0.3802
346,-0.4558
347,0.0764
348,0.5141
349,0.2714
350,-0.3372
351,-0.504
352,0
353,0.5112
354,0.3468
355,-0.283
356,-0.5437
357,-0.0819
358,0.4957
359,0.4194
360,-0.2181
361,-0.5731
362,-0.1677
363,0.4672
364,0.487
365,-0.1433
366,-0.5908
367,-0.2555
368,0.4254
369,0.5475
370,-0.0598
371,-0.5953
372,-0.3432
373,0.3704
